customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15600000,649,Germany,Male,45,0,2685.18,1,0,1,53108.23,0
15600001,499,Spain,Female,41,1,10827.3,3,1,1,68516.56,1
15600002,567,France,Female,74,6,118815.12,1,1,0,183805.31,1
15600003,602,France,Male,64,2,70121.29,3,1,1,115150.63,1
15600004,819,France,Male,45,0,250000.0,2,1,0,113636.35,0
15600005,619,Spain,Female,44,8,202837.27,3,1,0,77503.17,0
15600006,474,Germany,Female,48,0,96529.07,2,1,1,31490.75,0
15600007,735,Spain,Female,31,2,11349.08,2,0,0,106317.64,0
15600008,476,Spain,Female,47,4,26839.85,1,0,0,188918.55,1
15600009,418,France,Male,49,1,38483.15,2,1,1,137252.87,0
15600010,460,Germany,Male,73,5,16931.28,4,0,0,77293.62,1
15600011,520,Spain,Female,66,3,187894.28,3,1,1,162726.96,0
15600012,772,Germany,Male,51,1,34526.48,3,0,0,179742.18,0
15600013,674,France,Male,27,8,46374.08,4,0,1,64733.79,0
15600014,699,Germany,Female,64,9,58683.84,4,0,1,68357.82,1
15600015,623,France,Male,63,4,250000.0,2,1,1,135265.53,1
15600016,566,Germany,Female,52,9,57094.49,4,0,1,109952.75,0
15600017,422,France,Female,56,2,47949.88,3,0,1,85220.42,0
15600018,828,France,Female,54,1,705.43,3,1,1,48440.42,0
15600019,607,France,Female,46,4,7295.18,4,0,1,65486.09,0
15600020,459,France,Male,27,2,115036.53,4,0,0,62596.72,0
15600021,576,Germany,Male,33,0,20090.46,1,1,0,22815.75,1
15600022,809,Spain,Female,74,2,62532.78,3,0,1,21775.68,0
15600023,637,Germany,Male,71,9,9055.45,3,1,1,110611.34,0
15600024,441,France,Male,74,10,172077.35,2,1,0,148374.57,0
15600025,407,Germany,Female,28,0,37154.76,3,1,0,51979.77,0
15600026,765,Germany,Female,49,7,7712.07,4,1,1,160594.46,0
15600027,670,Germany,Female,66,1,14708.38,1,1,1,198983.93,0
15600028,424,France,Male,59,1,26998.47,2,0,0,161541.99,0
15600029,537,France,Female,50,6,17304.89,4,0,0,80345.83,0
15600030,850,Germany,Female,71,0,107807.55,3,1,1,160844.81,0
15600031,650,France,Male,59,1,43343.84,3,1,1,95613.83,0
15600032,493,France,Male,66,1,96455.43,4,0,0,67654.94,0
15600033,693,Germany,Male,64,5,10401.65,1,1,1,76791.9,0
15600034,509,France,Male,67,10,36925.75,1,1,1,136505.21,0
15600035,542,France,Male,59,0,79512.92,1,1,1,17855.47,1
15600036,662,France,Male,28,4,13748.21,1,0,0,173091.93,0
15600037,512,Spain,Female,53,4,62362.78,2,1,1,130507.01,0
15600038,750,Spain,Female,67,10,9702.37,2,0,0,184006.44,1
15600039,755,France,Male,69,0,22712.63,4,0,1,129607.38,0
15600040,454,France,Male,18,4,95163.68,2,1,1,156125.85,0
15600041,670,Spain,Male,69,7,7493.37,3,0,0,135159.85,0
15600042,653,Spain,Female,26,1,15427.61,1,1,0,125912.37,0
15600043,730,Spain,Female,18,0,148814.59,4,0,1,164906.99,0
15600044,516,France,Female,73,6,229232.23,1,1,0,67150.77,0
15600045,800,France,Female,53,2,250000.0,4,1,1,11389.54,0
15600046,737,France,Female,44,2,119244.83,1,0,0,95948.53,0
15600047,625,Germany,Male,26,3,74633.42,2,1,1,112696.96,0
15600048,633,Germany,Male,43,2,38431.41,1,1,1,111274.93,1
15600049,734,France,Male,70,4,72221.93,4,1,1,12696.19,0
15600050,676,Germany,Female,74,6,20189.4,2,1,0,119435.02,0
